tiempo_s,raw,delta,voltaje_mV,fuerza_N
0.010,18101,24,0.000894,0.584722
0.023,18014,-63,-0.002347,-1.534894
0.036,18089,12,0.000447,0.292361
0.050,17962,-115,-0.004284,-2.801791
0.063,18101,24,0.000894,0.584722
0.076,18009,-68,-0.002533,-1.656711
0.090,18038,-39,-0.001453,-0.950173
0.103,18008,-69,-0.002570,-1.681075
0.116,18056,-21,-0.000782,-0.511631
0.130,18034,-43,-0.001602,-1.047626
0.143,18089,12,0.000447,0.292361
0.156,18005,-72,-0.002682,-1.754165
0.170,17961,-116,-0.004321,-2.826155
0.183,18159,82,0.003055,1.997799
0.196,18042,-35,-0.001304,-0.852719
0.210,18016,-61,-0.002272,-1.486167
0.223,18049,-28,-0.001043,-0.682175
0.236,18039,-38,-0.001416,-0.925809
0.249,17992,-85,-0.003166,-2.070889
0.263,18128,51,0.001900,1.242533
0.276,18006,-71,-0.002645,-1.729802
0.289,18029,-48,-0.001788,-1.169443
0.303,18015,-62,-0.002310,-1.510531
0.316,18077,0,0.000000,0.000000
0.329,18044,-33,-0.001229,-0.803992
0.343,18099,22,0.000820,0.535995
0.356,18059,-18,-0.000671,-0.438541
0.369,17945,-132,-0.004917,-3.215969
0.383,18123,46,0.001714,1.120716
0.396,18064,-13,-0.000484,-0.316724
0.409,18019,-58,-0.002161,-1.413077
0.423,17995,-82,-0.003055,-1.997799
0.436,18107,30,0.001118,0.730902
0.449,17957,-120,-0.004470,-2.923608
0.463,18113,36,0.001341,0.877082
0.476,17974,-103,-0.003837,-2.509430
0.489,18067,-10,-0.000373,-0.243634
0.502,18057,-20,-0.000745,-0.487268
0.516,18092,15,0.000559,0.365451
0.529,18021,-56,-0.002086,-1.364350
0.542,18098,21,0.000782,0.511631
0.556,18006,-71,-0.002645,-1.729802
0.569,17945,-132,-0.004917,-3.215969
0.582,18089,12,0.000447,0.292361
0.596,18022,-55,-0.002049,-1.339987
0.609,18045,-32,-0.001192,-0.779629
0.622,18024,-53,-0.001974,-1.291260
0.636,18067,-10,-0.000373,-0.243634
0.649,18019,-58,-0.002161,-1.413077
0.662,18074,-3,-0.000112,-0.073090
0.676,18044,-33,-0.001229,-0.803992
